repo_name,primary_domain,navigation_domains,Helps You Decide,Primary Capability,repository_url
rolling-cashflow-forecast,profitability,profitability,Why is cash always tight?,Forecast future liquidity under changing operational and financial assumptions.,https://github.com/HyVoid/rolling-cashflow-forecast
Multi-Currency-Trade-Financial-Analyzer,profitability,profitability,Which trade flows are actually profitable after currency effects?,Measure multi-currency trade profitability across cross-border operations.,https://github.com/HyVoid/Multi-Currency-Trade-Financial-Analyzer
RTL_Loan_Sizer_Pricer,profitability,profitability,What financing structure is supportable under different borrower and collateral scenarios?,Compare lending scenarios using risk-adjusted financing assumptions.,https://github.com/HyVoid/RTL_Loan_Sizer_Pricer
Personal-Business-Dual-Track-Budget-Manager,profitability,profitability,Where is personal and business cash being mixed or misallocated?,Separate personal and business cash flows into independently tracked budget tracks.,https://github.com/HyVoid/Personal-Business-Dual-Track-Budget-Manager
Multifamily-Value-Add-Acquisition-Model,profitability,profitability,Does this real estate acquisition still create equity value after renovation and operating assumptions?,Evaluate multifamily acquisition returns under renovation financing and operating scenarios.,https://github.com/HyVoid/Multifamily-Value-Add-Acquisition-Model
Real-Estate-Valuation-all-in-one-calculator,profitability,profitability,What is a property worth under different valuation methods?,Calculate property value across multiple valuation methods with tax and capital expenditure modeling.,https://github.com/HyVoid/Real-Estate-Valuation-all-in-one-calculator
MULTI-NODE-INVENTORY-RECONCILIATION,inventory,inventory,Why do locations disagree on inventory positions?,Reconcile inventory records across multiple operating nodes to identify discrepancies.,https://github.com/HyVoid/MULTI-NODE-INVENTORY-RECONCILIATION
Demand-Adaptive-Inventory-Planning-Purchasing-Decision-Excel-Toolkit,inventory,inventory,What purchasing decision should be made today given demand trends lead times and cash constraints?,Forecast inventory requirements by combining demand signals lead-time risk purchasing recommendations and working capital exposure.,https://github.com/HyVoid/Demand-Adaptive-Inventory-Planning-Purchasing-Decision-Excel-Toolkit
Retail-SKU-Concentration-Assortment-Diagnostic-Console,inventory,inventory,Which products dominate inventory risk or dilute assortment quality?,Identify SKU concentration risk and assortment efficiency across retail product catalogs.,https://github.com/HyVoid/Retail-SKU-Concentration-Assortment-Diagnostic-Console
Retail-and-Maquila-Inventory-Ledger,inventory,inventory,Where is inventory moving across retail and maquila operations?,Track inventory movement processing loss and stock exposure across factories warehouses and stores.,https://github.com/HyVoid/Retail-and-Maquila-Inventory-Ledger
